latitude,longitude,value,aqi,so2,no2,o3,value2
34.6223426,136.0917954,39.0,30.0,1.5,2.8,27.2,39.0
36.9632779,140.8926893,31.0,10.0,1.5,12.1,3.2,31.0
35.251985,136.240778,0.0,25.0,2.9,18.6,6.4,0.0
35.251985,136.240778,0.0,25.0,2.9,18.6,6.4,0.0
37.6399941,140.9503931,35.0,30.0,1.5,3.8,14.5,35.0
37.6399941,140.9503931,52.0,30.0,1.5,3.8,14.5,52.0
37.6399941,140.9503931,29.0,30.0,1.5,3.8,14.5,29.0
37.6399941,140.9503931,29.0,30.0,1.5,3.8,14.5,29.0
37.6399941,140.9503931,31.0,30.0,1.5,3.8,14.5,31.0
37.6399941,140.9503931,25.0,30.0,1.5,3.8,14.5,25.0
37.6399941,140.9503931,30.0,30.0,1.5,3.8,14.5,30.0
37.6399941,140.9503931,35.0,30.0,1.5,3.8,14.5,35.0
37.6399941,140.9503931,43.0,30.0,1.5,3.8,14.5,43.0
37.6399941,140.9503931,140.0,30.0,1.5,3.8,14.5,140.0
11.030287,106.35631,30.0,53.0,1.0,11.0,1.0,30.0
11.030287,106.35631,34.0,53.0,1.0,11.0,1.0,34.0
11.030287,106.35631,36.0,53.0,1.0,11.0,1.0,36.0
11.030287,106.35631,38.0,53.0,1.0,11.0,1.0,38.0
11.030287,106.35631,30.0,53.0,1.0,11.0,1.0,30.0
11.030287,106.35631,38.0,53.0,1.0,11.0,1.0,38.0
11.030287,106.35631,32.0,53.0,1.0,11.0,1.0,32.0
11.030287,106.35631,27.0,53.0,1.0,11.0,1.0,27.0
11.030287,106.35631,40.0,53.0,1.0,11.0,1.0,40.0
11.030287,106.35631,42.0,53.0,1.0,11.0,1.0,42.0
11.030287,106.35631,50.0,53.0,1.0,11.0,1.0,50.0
11.030287,106.35631,32.0,53.0,1.0,11.0,1.0,32.0
11.030287,106.35631,29.0,53.0,1.0,11.0,1.0,29.0
11.030287,106.35631,24.0,53.0,1.0,11.0,1.0,24.0
34.06653,-118.22676,39.0,57.0,1.0,27.0,32.8,39.0
34.06653,-118.22676,40.0,57.0,1.0,27.0,32.8,40.0
34.06653,-118.22676,38.0,57.0,1.0,27.0,32.8,38.0
34.06653,-118.22676,37.0,57.0,1.0,27.0,32.8,37.0
34.06653,-118.22676,22.0,57.0,1.0,27.0,32.8,22.0
34.06653,-118.22676,31.0,57.0,1.0,27.0,32.8,31.0
34.06653,-118.22676,42.0,57.0,1.0,27.0,32.8,42.0
34.06653,-118.22676,45.0,57.0,1.0,27.0,32.8,45.0
36.0611111,14.2091667,19.0,37.0,0.2,0.5,37.4,19.0
34.6223426,136.0917954,45.0,30.0,1.5,2.8,27.2,45.0
